User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status
1000018,P00044142,F,18-25,3,B,3,0
1000019,P00112542,M,0-17,10,A,3,0
1000019,P00339542,M,0-17,10,A,3,0
1000019,P00127842,M,0-17,10,A,3,0
1000019,P00125942,M,0-17,10,A,3,0
1000019,P00251342,M,0-17,10,A,3,0
1000019,P00249642,M,0-17,10,A,3,0
1000019,P00124842,M,0-17,10,A,3,0
1000019,P00250642,M,0-17,10,A,3,0
1000019,P00058142,M,0-17,10,A,3,0
1000019,P00117442,M,0-17,10,A,3,0
1000019,P00251642,M,0-17,10,A,3,0
1000019,P00244842,M,0-17,10,A,3,0
1000021,P00220242,M,18-25,16,B,0,0
1000022,P00351142,M,18-25,15,A,4,0
1000022,P00213242,M,18-25,15,A,4,0
1000022,P00195942,M,18-25,15,A,4,0
1000022,P00115642,M,18-25,15,A,4,0
1000022,P0098242,M,18-25,15,A,4,0
1000022,P00262242,M,18-25,15,A,4,0
1000022,P00258742,M,18-25,15,A,4,0
1000022,P00218242,M,18-25,15,A,4,0
1000022,P00021742,M,18-25,15,A,4,0
1000022,P00313042,M,18-25,15,A,4,0
1000022,P00133742,M,18-25,15,A,4,0
1000022,P00077042,M,18-25,15,A,4,0
1000022,P00280542,M,18-25,15,A,4,0
1000022,P00225842,M,18-25,15,A,4,0
1000023,P00278942,M,36-45,0,B,3,1
1000023,P00004742,M,36-45,0,B,3,1
1000023,P00198042,M,36-45,0,B,3,1
1000023,P00177442,M,36-45,0,B,3,1
1000023,P00000642,M,36-45,0,B,3,1
1000023,P00288942,M,36-45,0,B,3,1
1000023,P00270942,M,36-45,0,B,3,1
1000023,P00345842,M,36-45,0,B,3,1
1000023,P00032042,M,36-45,0,B,3,1
1000023,P00313042,M,36-45,0,B,3,1
1000023,P00112342,M,36-45,0,B,3,1
1000023,P00031842,M,36-45,0,B,3,1
1000024,P00346642,F,26-35,7,A,3,1
1000024,P00205642,F,26-35,7,A,3,1
1000024,P00248942,F,26-35,7,A,3,1
1000025,P00206442,M,18-25,4,C,4,0
1000025,P00046742,M,18-25,4,C,4,0
1000025,P00120042,M,18-25,4,C,4,0
1000026,P00043242,M,26-35,7,B,2,1
1000026,P00057242,M,26-35,7,B,2,1
1000026,P00022842,M,26-35,7,B,2,1
1000026,P00252042,M,26-35,7,B,2,1
1000026,P00042242,M,26-35,7,B,2,1
1000026,P00059542,M,26-35,7,B,2,1
1000026,P00346642,M,26-35,7,B,2,1
1000026,P00021242,M,26-35,7,B,2,1
1000026,P00023042,M,26-35,7,B,2,1
1000026,P00144242,M,26-35,7,B,2,1
1000026,P00101342,M,26-35,7,B,2,1
1000026,P00289342,M,26-35,7,B,2,1
1000027,P00281742,M,26-35,11,C,1,1
1000027,P00266642,M,26-35,11,C,1,1
1000027,P00323742,M,26-35,11,C,1,1
1000027,P00116342,M,26-35,11,C,1,1
1000027,P00117142,M,26-35,11,C,1,1
1000028,P00084442,F,26-35,1,C,2,1
1000028,P00331542,F,26-35,1,C,2,1
1000028,P00118742,F,26-35,1,C,2,1
1000028,P00178942,F,26-35,1,C,2,1
1000028,P00026042,F,26-35,1,C,2,1
1000029,P00233542,M,36-45,7,C,1,0
1000029,P00127242,M,36-45,7,C,1,0
1000029,P00349942,M,36-45,7,C,1,0
1000029,P00303342,M,36-45,7,C,1,0
1000030,P00051442,F,36-45,7,C,3,0
1000030,P00275642,F,36-45,7,C,3,0
1000030,P00278642,F,36-45,7,C,3,0
1000031,P00117442,M,55,7,C,2,0
1000031,P00322042,M,55,7,C,2,0
1000031,P00216342,M,55,7,C,2,0
1000031,P00329342,M,55,7,C,2,0
1000032,P00332342,F,26-35,0,C,3,1
1000033,P00285442,M,46-50,3,A,1,1
1000033,P00111742,M,46-50,3,A,1,1
1000033,P00293742,M,46-50,3,A,1,1
1000033,P00032842,M,46-50,3,A,1,1
1000033,P00216142,M,46-50,3,A,1,1
1000033,P00001642,M,46-50,3,A,1,1
1000033,P00351842,M,46-50,3,A,1,1
1000033,P00145442,M,46-50,3,A,1,1
1000033,P00344242,M,46-50,3,A,1,1
1000033,P00327242,M,46-50,3,A,1,1
1000033,P00241142,M,46-50,3,A,1,1
1000033,P00219242,M,46-50,3,A,1,1
1000033,P00057342,M,46-50,3,A,1,1
1000033,P00165742,M,46-50,3,A,1,1
1000033,P00154642,M,46-50,3,A,1,1
1000034,P00192942,F,18-25,0,A,0,0
1000034,P00247042,F,18-25,0,A,0,0
1000034,P00150542,F,18-25,0,A,0,0
1000034,P00347142,F,18-25,0,A,0,0
1000034,P00326742,F,18-25,0,A,0,0
1000034,P00085942,F,18-25,0,A,0,0
1000034,P00330442,F,18-25,0,A,0,0
1000034,P00327842,F,18-25,0,A,0,0
1000034,P00218342,F,18-25,0,A,0,0
1000034,P00259042,F,18-25,0,A,0,0
1000035,P00102542,M,46-50,1,C,4,1
1000035,P00285442,M,46-50,1,C,4,1
1000035,P00121142,M,46-50,1,C,4,1
1000035,P00228242,M,46-50,1,C,4,1
1000035,P00129542,M,46-50,1,C,4,1
1000035,P00309542,M,46-50,1,C,4,1
1000035,P00106742,M,46-50,1,C,4,1
1000036,P00102642,M,26-35,3,B,0,0
1000036,P00127442,M,26-35,3,B,0,0
1000036,P00345642,M,26-35,3,B,0,0
1000036,P00357842,M,26-35,3,B,0,0
1000036,P00115342,M,26-35,3,B,0,0
1000036,P00174442,M,26-35,3,B,0,0
1000036,P00282642,M,26-35,3,B,0,0
1000036,P00150542,M,26-35,3,B,0,0
1000036,P00037142,M,26-35,3,B,0,0
1000036,P00192042,M,26-35,3,B,0,0
1000036,P00197542,M,26-35,3,B,0,0
1000036,P00048742,M,26-35,3,B,0,0
1000036,P00110142,M,26-35,3,B,0,0
1000036,P00120842,M,26-35,3,B,0,0
1000036,P00267742,M,26-35,3,B,0,0
1000036,P00086442,M,26-35,3,B,0,0
1000036,P00331842,M,26-35,3,B,0,0
1000036,P00288642,M,26-35,3,B,0,0
1000036,P00318742,M,26-35,3,B,0,0
1000036,P00028442,M,26-35,3,B,0,0
1000036,P00208342,M,26-35,3,B,0,0
1000036,P00193542,M,26-35,3,B,0,0
1000036,P00277442,M,26-35,3,B,0,0
1000037,P00085242,F,26-35,9,C,1,0
1000039,P00279442,M,18-25,4,B,2,0
1000039,P00351142,M,18-25,4,B,2,0
1000041,P00235242,F,18-25,4,C,3,0
1000041,P00251542,F,18-25,4,C,3,0
1000042,P00046742,M,26-35,8,C,0,1
1000042,P00003242,M,26-35,8,C,0,1
1000042,P00221542,M,26-35,8,C,0,1
1000042,P00142142,M,26-35,8,C,0,1
1000042,P00044442,M,26-35,8,C,0,1
1000042,P00147742,M,26-35,8,C,0,1
1000042,P00030942,M,26-35,8,C,0,1
1000042,P00288042,M,26-35,8,C,0,1
1000042,P00313142,M,26-35,8,C,0,1
1000042,P00195442,M,26-35,8,C,0,1
1000043,P00255842,M,26-35,12,A,0,0
1000044,P00112142,M,46-50,17,B,3,1
1000044,P00120342,M,46-50,17,B,3,1
1000044,P00110542,M,46-50,17,B,3,1
1000044,P00279942,M,46-50,17,B,3,1
1000044,P00303742,M,46-50,17,B,3,1
1000044,P00140742,M,46-50,17,B,3,1
1000044,P00190042,M,46-50,17,B,3,1
1000044,P00316742,M,46-50,17,B,3,1
1000044,P00233542,M,46-50,17,B,3,1
1000044,P00115242,M,46-50,17,B,3,1
1000044,P00338442,M,46-50,17,B,3,1
1000044,P00302842,M,46-50,17,B,3,1
1000044,P00124842,M,46-50,17,B,3,1
1000045,P00066442,F,46-50,16,A,1,1
1000045,P00273442,F,46-50,16,A,1,1
1000045,P00210142,F,46-50,16,A,1,1
1000045,P00212542,F,46-50,16,A,1,1
1000045,P00321742,F,46-50,16,A,1,1
1000045,P00020042,F,46-50,16,A,1,1
1000045,P00051942,F,46-50,16,A,1,1
1000045,P00251342,F,46-50,16,A,1,1
1000045,P00303542,F,46-50,16,A,1,1
1000045,P00228142,F,46-50,16,A,1,1
1000046,P00123142,M,18-25,19,C,4,0
1000046,P00079542,M,18-25,19,C,4,0
1000046,P00103142,M,18-25,19,C,4,0
1000046,P00305542,M,18-25,19,C,4,0
1000047,P00031042,M,18-25,4,C,4,1
1000047,P00260042,M,18-25,4,C,4,1
1000048,P00055642,M,26-35,4,B,3,1
1000048,P00312742,M,26-35,4,B,3,1
1000048,P00010742,M,26-35,4,B,3,1
1000048,P00147742,M,26-35,4,B,3,1
1000048,P00303742,M,26-35,4,B,3,1
1000048,P00223242,M,26-35,4,B,3,1
1000048,P00114942,M,26-35,4,B,3,1
1000048,P00277442,M,26-35,4,B,3,1
1000048,P00183242,M,26-35,4,B,3,1
1000048,P00030842,M,26-35,4,B,3,1
1000048,P00220142,M,26-35,4,B,3,1
1000048,P00130442,M,26-35,4,B,3,1
1000048,P00323042,M,26-35,4,B,3,1
1000048,P00344742,M,26-35,4,B,3,1
1000048,P00182442,M,26-35,4,B,3,1
1000048,P00015342,M,26-35,4,B,3,1
1000048,P00113242,M,26-35,4,B,3,1
1000048,P00288042,M,26-35,4,B,3,1
1000048,P00103042,M,26-35,4,B,3,1
1000048,P00187842,M,26-35,4,B,3,1
1000048,P00162442,M,26-35,4,B,3,1
1000048,P00078542,M,26-35,4,B,3,1
1000048,P0094142,M,26-35,4,B,3,1
1000048,P00324442,M,26-35,4,B,3,1
1000048,P00041642,M,26-35,4,B,3,1
1000048,P00050542,M,26-35,4,B,3,1
1000048,P00006442,M,26-35,4,B,3,1
1000049,P00051442,M,18-25,12,C,4,1
1000049,P00350942,M,18-25,12,C,4,1
1000049,P00000142,M,18-25,12,C,4,1
1000049,P00127242,M,18-25,12,C,4,1
1000049,P00034042,M,18-25,12,C,4,1
1000049,P00143142,M,18-25,12,C,4,1
1000050,P00317942,F,26-35,2,A,1,1
1000050,P00335542,F,26-35,2,A,1,1
1000051,P00361842,F,0-17,10,C,2,0
1000052,P00147942,M,18-25,4,C,0,0
1000052,P00000642,M,18-25,4,C,0,0
1000052,P00037142,M,18-25,4,C,0,0
1000052,P00028042,M,18-25,4,C,0,0
1000053,P00117542,M,26-35,0,B,1,0
1000053,P00120342,M,26-35,0,B,1,0
1000053,P00130742,M,26-35,0,B,1,0
1000053,P00024142,M,26-35,0,B,1,0
1000053,P00127242,M,26-35,0,B,1,0
1000053,P00209742,M,26-35,0,B,1,0
1000053,P00160042,M,26-35,0,B,1,0
1000053,P00042342,M,26-35,0,B,1,0
1000053,P00016542,M,26-35,0,B,1,0
1000053,P00016742,M,26-35,0,B,1,0
1000053,P00227642,M,26-35,0,B,1,0
1000053,P00146142,M,26-35,0,B,1,0
1000053,P00070542,M,26-35,0,B,1,0
1000053,P00129842,M,26-35,0,B,1,0
1000053,P00243942,M,26-35,0,B,1,0
1000053,P00246742,M,26-35,0,B,1,0
1000053,P00310142,M,26-35,0,B,1,0
1000053,P00244142,M,26-35,0,B,1,0
1000053,P00085442,M,26-35,0,B,1,0
1000053,P00190142,M,26-35,0,B,1,0
1000053,P00109242,M,26-35,0,B,1,0
1000053,P00089342,M,26-35,0,B,1,0
1000053,P00288542,M,26-35,0,B,1,0
1000053,P00212242,M,26-35,0,B,1,0
1000053,P00319342,M,26-35,0,B,1,0
1000053,P00302942,M,26-35,0,B,1,0
1000053,P00145942,M,26-35,0,B,1,0
1000053,P00026342,M,26-35,0,B,1,0
1000053,P00148842,M,26-35,0,B,1,0
1000054,P00299842,M,51-55,1,C,4,1
1000054,P00313342,M,51-55,1,C,4,1
1000056,P00102442,M,36-45,20,C,0,1
1000056,P00237542,M,36-45,20,C,0,1
1000056,P00213742,M,36-45,20,C,0,1
1000056,P0099342,M,36-45,20,C,0,1
1000057,P00171542,M,18-25,19,C,2,0
1000057,P00135742,M,18-25,19,C,2,0
1000057,P00350342,M,18-25,19,C,2,0
1000058,P00110742,M,26-35,2,B,3,0
1000058,P00117642,M,26-35,2,B,3,0
1000058,P00114142,M,26-35,2,B,3,0
1000058,P00119142,M,26-35,2,B,3,0
1000058,P00280742,M,26-35,2,B,3,0
1000058,P00271142,M,26-35,2,B,3,0
1000058,P00348242,M,26-35,2,B,3,0
1000058,P00003942,M,26-35,2,B,3,0
1000058,P00282642,M,26-35,2,B,3,0
1000058,P00288642,M,26-35,2,B,3,0
1000058,P00151742,M,26-35,2,B,3,0
1000058,P00244142,M,26-35,2,B,3,0
1000058,P00050642,M,26-35,2,B,3,0
1000059,P00114742,F,51-55,1,B,4,1
1000059,P00113942,F,51-55,1,B,4,1
1000059,P00120942,F,51-55,1,B,4,1
1000059,P00083842,F,51-55,1,B,4,1
1000059,P00148642,F,51-55,1,B,4,1
1000059,P00317842,F,51-55,1,B,4,1
1000059,P00030642,F,51-55,1,B,4,1
1000059,P00273642,F,51-55,1,B,4,1
1000059,P00002542,F,51-55,1,B,4,1
1000059,P00331642,F,51-55,1,B,4,1
1000059,P00331242,F,51-55,1,B,4,1
1000059,P0096442,F,51-55,1,B,4,1
1000059,P00050242,F,51-55,1,B,4,1
1000059,P00131942,F,51-55,1,B,4,1
1000059,P00010742,F,51-55,1,B,4,1
1000060,P00150542,M,51-55,1,C,1,1
1000060,P00132042,M,51-55,1,C,1,1
1000061,P00334242,M,26-35,17,C,1,0
1000062,P00013742,F,36-45,3,A,1,0
1000062,P00036842,F,36-45,3,A,1,0
1000062,P00119342,F,36-45,3,A,1,0
1000062,P00182142,F,36-45,3,A,1,0
1000062,P00188942,F,36-45,3,A,1,0
1000062,P00203142,F,36-45,3,A,1,0
1000062,P00320442,F,36-45,3,A,1,0
1000062,P00121642,F,36-45,3,A,1,0
1000062,P00289542,F,36-45,3,A,1,0
1000062,P00329742,F,36-45,3,A,1,0
1000062,P00326642,F,36-45,3,A,1,0
1000062,P00346142,F,36-45,3,A,1,0
1000062,P00336142,F,36-45,3,A,1,0
1000062,P00111442,F,36-45,3,A,1,0
1000062,P00087242,F,36-45,3,A,1,0
1000063,P00234742,M,18-25,4,C,2,0
1000063,P00021742,M,18-25,4,C,2,0
1000063,P00090842,M,18-25,4,C,2,0
1000063,P00214542,M,18-25,4,C,2,0
1000064,P00110942,M,18-25,1,A,1,1
1000065,P00289942,M,36-45,12,C,2,1
1000065,P00147942,M,36-45,12,C,2,1
1000065,P00216142,M,36-45,12,C,2,1
1000065,P00104842,M,36-45,12,C,2,1
1000065,P00113142,M,36-45,12,C,2,1
1000065,P00177942,M,36-45,12,C,2,1
1000066,P00265242,M,26-35,18,C,2,0
1000067,P00118142,F,51-55,5,C,4,1
1000067,P00003642,F,51-55,5,C,4,1
1000067,P00178342,F,51-55,5,C,4,1
1000068,P00289742,M,18-25,4,A,0,0
1000068,P00085042,M,18-25,4,A,0,0
1000068,P00248942,M,18-25,4,A,0,0
1000069,P00184942,F,26-35,1,A,1,0
1000069,P00041542,F,26-35,1,A,1,0
1000070,P00249142,M,18-25,4,A,2,0
1000070,P00284042,M,18-25,4,A,2,0
1000071,P00165442,M,26-35,14,A,0,1
1000071,P00115942,M,26-35,14,A,0,1
1000071,P00278642,M,26-35,14,A,0,1
1000071,P00021742,M,26-35,14,A,0,1
1000072,P00156442,F,46-50,0,B,1,1
1000072,P00318742,F,46-50,0,B,1,1
1000073,P00351142,M,18-25,4,A,4,0
1000073,P00074442,M,18-25,4,A,4,0
1000073,P00047242,M,18-25,4,A,4,0
1000073,P00199042,M,18-25,4,A,4,0
1000073,P00192542,M,18-25,4,A,4,0
1000074,P00351142,M,36-45,14,A,2,1
1000074,P00350042,M,36-45,14,A,2,1
1000075,P00248442,F,0-17,10,C,4,0
1000075,P00172842,F,0-17,10,C,4,0
1000075,P00198142,F,0-17,10,C,4,0
1000075,P00282142,F,0-17,10,C,4,0
1000075,P00166942,F,0-17,10,C,4,0
1000075,P00187742,F,0-17,10,C,4,0
1000075,P00003442,F,0-17,10,C,4,0
1000075,P00060242,F,0-17,10,C,4,0
1000075,P00137642,F,0-17,10,C,4,0
1000075,P00106742,F,0-17,10,C,4,0
1000076,P00126142,M,36-45,7,B,2,1
1000076,P00219842,M,36-45,7,B,2,1
1000076,P00046142,M,36-45,7,B,2,1
1000076,P00338442,M,36-45,7,B,2,1
1000076,P00328142,M,36-45,7,B,2,1
1000077,P00255542,M,18-25,4,C,2,0
1000077,P00250842,M,18-25,4,C,2,0
1000077,P00260142,M,18-25,4,C,2,0
1000078,P0097142,F,46-50,1,C,0,1
1000078,P00209842,F,46-50,1,C,0,1
1000078,P00212942,F,46-50,1,C,0,1
1000078,P00283942,F,46-50,1,C,0,1
1000078,P00303242,F,46-50,1,C,0,1
1000078,P00170442,F,46-50,1,C,0,1
1000078,P00045842,F,46-50,1,C,0,1
1000078,P00040442,F,46-50,1,C,0,1
1000079,P00195842,F,46-50,0,A,1,0
1000079,P00148642,F,46-50,0,A,1,0
1000080,P00157542,M,55,1,C,3,1
1000080,P00293242,M,55,1,C,3,1
1000080,P00064042,M,55,1,C,3,1
1000081,P00344242,F,26-35,0,A,1,1
1000082,P00015542,M,26-35,17,C,2,1
1000082,P00001642,M,26-35,17,C,2,1
1000083,P00105142,F,26-35,2,C,1,0
1000083,P00251242,F,26-35,2,C,1,0
1000083,P00183442,F,26-35,2,C,1,0
1000083,P00199442,F,26-35,2,C,1,0
1000083,P00054542,F,26-35,2,C,1,0
1000084,P00034742,M,18-25,4,C,1,0
1000084,P00042242,M,18-25,4,C,1,0
1000084,P00277442,M,18-25,4,C,1,0
1000084,P00163142,M,18-25,4,C,1,0
1000085,P00027142,M,18-25,4,C,1,0
1000086,P00145042,F,0-17,10,C,3,0
1000086,P00053942,F,0-17,10,C,3,0
1000087,P00173342,M,26-35,14,C,2,0
1000087,P00233342,M,26-35,14,C,2,0
1000087,P00036842,M,26-35,14,C,2,0
1000088,P00010842,F,46-50,1,C,1,1
1000088,P00120242,F,46-50,1,C,1,1
1000088,P00313342,F,46-50,1,C,1,1
1000089,P00223942,F,55,9,C,1,1
1000089,P00362342,F,55,9,C,1,1
1000090,P00027542,M,55,13,C,1,0
1000090,P00051442,M,55,13,C,1,0
1000090,P00234842,M,55,13,C,1,0
1000090,P00029242,M,55,13,C,1,0
1000090,P0097842,M,55,13,C,1,0
1000090,P00160942,M,55,13,C,1,0
1000090,P00136542,M,55,13,C,1,0
1000090,P00223242,M,55,13,C,1,0
1000090,P00127942,M,55,13,C,1,0
1000090,P00248542,M,55,13,C,1,0
1000090,P00145842,M,55,13,C,1,0
1000090,P00214342,M,55,13,C,1,0
1000090,P00161542,M,55,13,C,1,0
1000090,P00001942,M,55,13,C,1,0
1000091,P00010842,M,36-45,7,C,3,1
1000091,P00220442,M,36-45,7,C,3,1
1000091,P00278642,M,36-45,7,C,3,1
1000091,P00138542,M,36-45,7,C,3,1
1000092,P00317942,F,18-25,4,B,1,0
1000092,P00190042,F,18-25,4,B,1,0
1000092,P00328042,F,18-25,4,B,1,0
1000092,P00370242,F,18-25,4,B,1,0
1000092,P00340642,F,18-25,4,B,1,0
1000092,P00358242,F,18-25,4,B,1,0
1000092,P0096542,F,18-25,4,B,1,0
1000092,P0096942,F,18-25,4,B,1,0
1000092,P00074142,F,18-25,4,B,1,0
1000092,P00273442,F,18-25,4,B,1,0
1000092,P00270042,F,18-25,4,B,1,0
1000092,P00255842,F,18-25,4,B,1,0
1000092,P00223842,F,18-25,4,B,1,0
1000092,P00014842,F,18-25,4,B,1,0
1000092,P00274342,F,18-25,4,B,1,0
1000093,P00199442,M,26-35,17,B,1,1
1000093,P00216342,M,26-35,17,B,1,1
1000093,P00070542,M,26-35,17,B,1,1
1000093,P00112542,M,26-35,17,B,1,1
1000093,P00346142,M,26-35,17,B,1,1
1000093,P00208742,M,26-35,17,B,1,1
1000093,P00248942,M,26-35,17,B,1,1
1000093,P00351142,M,26-35,17,B,1,1
1000093,P00304442,M,26-35,17,B,1,1
1000093,P00014042,M,26-35,17,B,1,1
1000093,P00028442,M,26-35,17,B,1,1
1000093,P00155442,M,26-35,17,B,1,1
1000093,P00133442,M,26-35,17,B,1,1
1000093,P00159842,M,26-35,17,B,1,1
1000093,P00019942,M,26-35,17,B,1,1
1000093,P00366542,M,26-35,17,B,1,1
1000094,P00117042,M,26-35,17,C,1,0
1000095,P00141942,M,46-50,0,C,4,1
1000095,P00003642,M,46-50,0,C,4,1
1000096,P00117942,F,26-35,16,C,2,1
1000096,P00001742,F,26-35,16,C,2,1
1000097,P00209842,F,36-45,3,C,3,0
1000097,P00293742,F,36-45,3,C,3,0
1000097,P00315442,F,36-45,3,C,3,0
1000097,P00297642,F,36-45,3,C,3,0
1000097,P00088542,F,36-45,3,C,3,0
1000097,P00089042,F,36-45,3,C,3,0
1000097,P00175742,F,36-45,3,C,3,0
1000097,P00115942,F,36-45,3,C,3,0
1000099,P00317842,F,0-17,10,C,1,0
1000099,P00334242,F,0-17,10,C,1,0
1000099,P00035542,F,0-17,10,C,1,0
1000099,P00129542,F,0-17,10,C,1,0
1000099,P00234842,F,0-17,10,C,1,0
1000100,P00057942,M,36-45,17,C,4,0
1000100,P00037142,M,36-45,17,C,4,0
1000100,P00059442,M,36-45,17,C,4,0
1000101,P00278042,F,18-25,3,A,1,0
1000101,P00154042,F,18-25,3,A,1,0
1000101,P00014042,F,18-25,3,A,1,0
1000101,P00262242,F,18-25,3,A,1,0
1000102,P00010842,M,36-45,19,C,3,0
1000102,P00334242,M,36-45,19,C,3,0
1000102,P00337942,M,36-45,19,C,3,0
1000102,P00274942,M,36-45,19,C,3,0
1000102,P00229342,M,36-45,19,C,3,0
1000102,P00274242,M,36-45,19,C,3,0
1000102,P00084642,M,36-45,19,C,3,0
1000103,P00071242,M,46-50,7,B,2,1
1000103,P00050442,M,46-50,7,B,2,1
1000103,P0097342,M,46-50,7,B,2,1
1000103,P00165442,M,46-50,7,B,2,1
1000105,P00269542,M,46-50,12,C,1,1
1000105,P00045542,M,46-50,12,C,1,1
1000105,P00139742,M,46-50,12,C,1,1
1000105,P00332242,M,46-50,12,C,1,1
1000106,P00205442,F,36-45,11,C,4,0
1000106,P00085542,F,36-45,11,C,4,0
1000106,P00112142,F,36-45,11,C,4,0
1000107,P00323742,M,46-50,18,C,4,0
1000107,P00183142,M,46-50,18,C,4,0
1000107,P00344242,M,46-50,18,C,4,0
1000107,P00298242,M,46-50,18,C,4,0
1000107,P00300942,M,46-50,18,C,4,0
1000107,P0097142,M,46-50,18,C,4,0
1000108,P00013942,M,26-35,12,C,3,0
1000109,P00087042,M,46-50,15,C,1,1
1000109,P00087342,M,46-50,15,C,1,1
1000109,P00195642,M,46-50,15,C,1,1
1000110,P00035842,M,26-35,2,B,4,0
1000111,P00036842,M,36-45,15,C,3,0
1000111,P00013942,M,36-45,15,C,3,0
1000112,P00289942,M,26-35,16,C,3,1
1000113,P00351142,M,18-25,12,C,2,0
1000113,P00147342,M,18-25,12,C,2,0
1000114,P00350942,F,26-35,2,C,0,0
1000114,P00176842,F,26-35,2,C,0,0
1000116,P00275842,M,26-35,17,C,2,1
1000116,P00192542,M,26-35,17,C,2,1
1000117,P00351342,M,26-35,17,A,2,1
1000117,P00184142,M,26-35,17,A,2,1
1000117,P00317342,M,26-35,17,A,2,1
1000117,P00217242,M,26-35,17,A,2,1
1000117,P00014542,M,26-35,17,A,2,1
1000117,P00021742,M,26-35,17,A,2,1
1000117,P00358242,M,26-35,17,A,2,1
1000117,P00335442,M,26-35,17,A,2,1
1000117,P0098342,M,26-35,17,A,2,1
1000117,P00079742,M,26-35,17,A,2,1
1000117,P00143642,M,26-35,17,A,2,1
1000117,P00251342,M,26-35,17,A,2,1
1000117,P00232342,M,26-35,17,A,2,1
1000117,P00179042,M,26-35,17,A,2,1
1000117,P00180942,M,26-35,17,A,2,1
1000117,P00265742,M,26-35,17,A,2,1
1000118,P00194542,M,36-45,17,C,4,0
